no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online
2,0,0,2,0,2.424863699619117,0,0,0,10.4601499346053,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,3.6132483604972085,0,0,0,14.911258775126054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,3,0,9.125156210790122,0,0,0,13.455087445773929,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,0,0,0.7825566810065498,0,0,0,14.77900920512046,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,4.154392429372679,0,0,0,11.740294041450243,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,5,0,3.803671935308651,0,0,0,10.352827401805879,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,0,2,0,6.983868242305268,0,0,0,16.831788344956276,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,1,2,0,10.140142764289097,0,0,0,11.173804142108077,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,2,1,0,12.578769418499315,0,0,0,16.494933983434514,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,2,1,0.009966240381495555,1,11,0,10.942783035720874,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,9.448080303868617,0,0,0,10.942783035720874,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,1,14.456865666443797,0,0,0,14.64956970797786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,12.27830849931809,0,0,0,13.162534614518833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,0.009966240381495555,0,0,0,11.23864883330332,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,1.750018771384625,0,0,0,11.173804142108077,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,1,0,7.607124173565279,0,0,0,13.851426148012639,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,10.805512939811,0,0,0,11.49315225239375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,-2.4047385239985353,0,0,0,12.882234902847564,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,5.75165477138973,0,0,0,13.455087445773929,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,2,0,8.227359265577123,0,0,0,16.30733697030477,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,12.835991735395682,0,0,0,12.681479337306826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,4,0,10.805512939811,0,0,0,11.466785065809137,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,13.29593354631596,0,0,0,12.386096521868524,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,6.0678827389250465,0,0,0,14.77900920512046,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,15.474954745831013,0,0,0,10.316725584227092,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,6.548825866563435,0,0,0,11.222484661920577,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,0,3.6132483604972085,0,0,0,12.098346713373525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,5.164338539248802,0,0,0,13.694797332822578,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,1,3,0,14.221738439286616,0,0,0,10.68782592290289,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,2,0,8.095729274309582,0,0,0,11.23864883330332,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,8.543026761970442,0,0,0,10.841756183289997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,10.677811221696858,0,0,0,13.198944996415953,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,5,0,14.034086448026379,0,0,0,11.858268230462562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,-2.4047385239985353,0,0,0,15.298441182341977,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2,0,0,3,0,10.763221518140034,0,0,0,10.841756183289997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,9.288840809365936,0,0,0,12.470666122280365,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,2,0,12.413365870498335,0,0,0,12.681479337306826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,1,0,8.543026761970442,0,0,0,13.744010084675356,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2,0,0,3,0,6.814672810770127,0,0,0,12.380430510401524,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,10.369694958586008,0,0,0,10.653217466304167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,1.750018771384625,0,0,0,16.229876688481387,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,12.00040969754156,0,0,0,13.317615333449439,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,4.317083682884964,0,0,0,12.329276548539504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,11.78466671580526,0,0,0,12.681479337306826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,6.639149931100781,0,0,0,12.779684203101484,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,6.0678827389250465,0,0,0,10.316725584227092,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,0,0,4,0,15.67837553231893,0,0,0,12.935761747629307,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,2,3,0,12.446744740371697,0,0,0,13.385067625897193,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,10.459242971777526,0,0,0,11.891257412295692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,1.750018771384625,0,0,0,10.089084354010621,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,9.180230666789404,0,0,0,12.834337924054289,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,14.809912454764396,0,0,0,11.594100308852735,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,3,0,12.961377558636208,0,0,0,12.935761747629307,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,3,0,6.266541086841171,0,0,0,14.809573544193615,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,2,0,9.288840809365936,0,0,0,12.470666122280365,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,7.751500864262383,0,0,0,9.753931099158653,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,3,7,0,8.355835442431552,0,0,0,10.240365415870295,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,3,0,-2.4047385239985353,0,0,0,12.098346713373525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,11.486310303809848,0,0,0,13.620515088107249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,3,0,9.342399733037515,0,0,0,15.643648139983394,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,11.599696120531032,0,0,0,14.269947029292478,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,17.804234468707616,0,0,0,13.198944996415953,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,9.013407104307369,0,0,0,11.121563618166812,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,0.009966240381495555,0,0,0,9.753931099158653,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,1,3.1938805801177828,1,0,1,11.108452133669488,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,2,0,0,1.750018771384625,0,0,0,10.841756183289997,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,2,0,2.705467314646658,0,0,0,15.726454811421029,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,4,9,0,12.070896159586619,0,0,0,14.013280839648937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,7.226950219504893,0,0,0,11.193310350498553,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,1,14.859161697484542,0,0,0,12.681479337306826,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,15.877243209046203,0,0,0,11.222484661920577,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,1,11.409672698005561,0,0,0,12.582222247517887,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,14.221738439286616,0,0,0,12.174052713891696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,9.500222811084415,0,0,0,12.386096521868524,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,0,4,0,12.708485988966556,0,0,0,13.185957190842458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,2,0,9.853081807484557,0,0,0,14.920016945411561,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,3,1,9.288840809365936,0,0,0,13.51556731041062,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,1,0,6.456680120431903,0,0,0,14.01519204537903,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,1,0,0,13.924877201581094,0,0,0,13.885362368765694,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,1,0,2.1104769557146987,1,0,6,10.133668720465554,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,2,3,0,2.424863699619117,0,0,0,12.660613667164975,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,1,0,6.639149931100781,0,0,0,15.011544800771528,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,4,0,11.371031066699652,0,0,0,10.653217466304167,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,5.859693918529069,0,0,0,13.094544750931377,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,5.164338539248802,0,0,0,10.280456661171458,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,3,0,6.548825866563435,0,0,0,16.007366006109937,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,4.154392429372679,0,0,0,11.302996336563096,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,13.897342387691523,0,0,0,10.040491413104817,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,13.530477793792672,0,0,0,11.858268230462562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,0.009966240381495555,0,0,0,15.713035666887032,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,8.89943687365904,0,0,0,11.121563618166812,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,4.90268147343466,0,0,0,12.60990090378679,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,11.964904255059576,0,0,0,12.73071148329552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,17.235860398215713,0,0,0,13.198944996415953,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,10.677811221696858,0,0,0,13.198944996415953,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,16.40772870444162,0,0,0,11.740294041450243,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,0.009966240381495555,0,0,0,10.189775465902414,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,6.362619049624176,0,0,0,12.329276548539504,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,0,3,0,10.847534355941391,0,0,0,14.31179323933794,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,0,3,1,11.371031066699652,0,0,0,14.721181968249319,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,9.603161764587373,0,0,0,14.232606071670448,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
3,0,0,2,0,10.278871284055336,0,0,0,14.31179323933794,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,6.548825866563435,1,3,12,10.133668720465554,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,1,0,0.009966240381495555,0,0,0,11.861272377649177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,5.035730628699913,0,0,0,13.899871237599838,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,8.543026761970442,0,0,0,11.055798236400166,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,1,2,0,4.764791365422229,0,0,0,10.059217397725545,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,5.965050258895251,0,0,0,12.63749672385555,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,2.705467314646658,0,0,0,13.198944996415953,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,1,2,0,1.322020010631007,0,0,0,15.549071835721357,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,9.500222811084415,0,0,0,12.980490332302137,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,4,0,7.066263432302386,0,0,0,13.091920041111738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,8.418947906524169,0,0,0,12.697919098907498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,17.045159608172995,0,0,0,11.042582340951169,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,0,-2.4047385239985353,1,0,1,12.098346713373525,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,1,0,4.764791365422229,0,0,0,13.899871237599838,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,0,2.705467314646658,0,0,0,12.156638921524621,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,3.4106889600910395,0,0,0,12.747064372432181,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,2,5,0,11.293086978017335,0,0,0,12.825701190784523,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,2,0,8.227359265577123,0,0,0,16.30733697030477,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2,1,0,5.4095867131092445,0,0,0,11.617608724641777,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1,5,0,7.960746811981403,0,0,0,13.20361629709762,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,4,0,6.814672810770127,0,0,0,10.828191057640566,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,1,2,0,12.446744740371697,0,0,0,14.185736796518551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,7.382523458369656,0,0,0,12.069057093898765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,4,0,6.168335789554839,0,0,0,13.317615333449439,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,0,1.322020010631007,0,0,0,13.948082764353595,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,2,2,0,11.486310303809848,0,0,0,12.825701190784523,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,3,7,0,13.952318233855044,0,0,0,11.858268230462562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,9.704368135318235,0,0,0,10.783947592854513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,9.448080303868617,0,0,0,13.255883199823716,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,7.458514453594277,0,0,0,13.020777312548399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,0,0,3.6132483604972085,0,0,0,10.133668720465554,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,2,0,8.355835442431552,0,0,0,13.255883199823716,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,4,0,1.322020010631007,0,0,0,13.118658180725625,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,9.342399733037515,1,0,4,10.133668720465554,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,3,0,3.6132483604972085,0,0,0,11.800992718260904,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2,0,2,1,0,10.186726045375885,0,0,0,11.121563618166812,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,12.51305193920069,0,0,0,11.858268230462562,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,3,0,12.961377558636208,0,0,0,12.935761747629307,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,0,8.724068355620622,0,0,0,12.069057093898765,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,0,3,0,13.758233330143785,0,0,0,15.306889078440145,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,3,0,4.472572688289471,0,0,0,10.90924575041835,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,2,0,12.898944189648201,0,0,0,12.386096521868524,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,2.424863699619117,0,0,0,11.108452133669488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,4,0,6.362619049624176,0,0,0,12.913317576915672,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,7.147271986941719,0,0,0,10.133668720465554,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,7.226950219504893,0,0,0,10.57304734442442,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,11.637083748820116,0,0,0,13.097168736815346,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,0,13.730118711679468,0,0,0,12.098346713373525,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,7.822192474018898,0,0,0,10.815283227917485,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,0,1,0,5.75165477138973,0,0,0,14.734554982076395,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,2,0,3.803671935308651,0,0,0,11.794336511718175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,9.069552607467418,0,0,0,13.709586890732295,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,1,2,0,10.88928998957976,0,0,0,16.529061412269687,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,1,2,0,2.9600540602360894,0,0,0,11.49315225239375,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1.322020010631007,0,0,0,15.37003971337036,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,3,10,0,13.841988217954848,0,0,0,11.290808109928276,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2,1,1,1,0,8.78313304750429,0,0,0,14.959339594864188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,0,2,0,2.424863699619117,0,0,0,15.954531956154359,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,1,3,0,12.00040969754156,0,0,0,10.902521800047014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,10.278871284055336,0,0,0,10.653217466304167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,3,0,8.78313304750429,0,0,0,14.586504045199142,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,3,0,7.382523458369656,0,0,0,10.841756183289997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,8.095729274309582,0,0,0,11.69142826061264,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,1,9.342399733037515,0,0,0,11.785857627730202,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,13.616655478357089,0,0,0,13.948082764353595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,9.069552607467418,0,0,0,12.386096521868524,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,4.764791365422229,0,0,0,11.354122964275707,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,0,0.009966240381495555,0,0,0,10.614975266614522,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,3.983613050709453,0,0,0,11.49315225239375,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,16.114474692180146,0,0,0,10.635857228907387,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,7.382523458369656,0,0,0,10.829548586975621,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,0,13.054077111527787,0,0,0,10.021719590666608,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,9.901860160206548,0,0,0,12.66501035020906,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,3,0,10.972020282990258,0,0,0,11.547512744819407,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,3,1,0.009966240381495555,0,0,0,11.571148675541187,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,0,16.631772471131768,0,0,0,9.102912489206211,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,-2.4047385239985353,0,0,0,15.213597773598005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,17.083605038172877,0,0,0,11.841425949546407,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,15.745158167117888,0,0,0,11.617608724641777,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,10.677811221696858,0,0,0,11.06239828293094,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,5.164338539248802,0,0,0,15.41068289155206,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,2,2,0,15.1961796050477,0,0,0,11.222484661920577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,1,0,6.266541086841171,0,0,0,13.279079158090727,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,10.50355226334518,0,0,0,11.173804142108077,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0,1,0,0.009966240381495555,0,0,0,16.151886820397436,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,8.161950459171436,0,0,0,12.60990090378679,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,3.4106889600910395,0,0,0,13.899871237599838,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,7.382523458369656,0,0,0,11.524436072744049,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,0.009966240381495555,0,0,0,15.672272152198696,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,0.7825566810065498,0,0,0,10.635857228907387,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,3.1938805801177828,0,0,0,11.617608724641777,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,4,0,13.266112802124963,0,0,0,11.800992718260904,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,1,4,0,10.847534355941391,0,0,0,14.880548101836908,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,0,7.533367617780273,0,0,0,11.752467663137734,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,11.094222110354858,0,0,0,11.800992718260904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,14.248197534363127,0,0,0,12.386096521868524,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,10.278871284055336,0,0,0,12.72416226419495,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,0,2,0,10.634683344859535,0,0,0,12.470666122280365,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,15.452060027824173,0,0,0,9.511708707367974,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,15.964231927680373,0,0,0,10.451617589382954,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,2,0,11.332170194010946,0,0,0,13.841708842304064,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,3,0,9.342399733037515,0,0,0,4.113722929859376,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,3.1938805801177828,0,0,0,13.948082764353595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,10.634683344859535,0,0,0,12.882234902847564,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,15.1961796050477,0,0,0,13.447500994071786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,1.750018771384625,0,0,0,10.942783035720874,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,8.161950459171436,0,0,0,12.60990090378679,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,1.322020010631007,0,0,0,11.49315225239375,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,2,3,1,9.653977015499429,0,0,0,14.559358640994487,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,1,1,4.621599924877713,0,0,0,16.7243034528824,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,3,0,6.266541086841171,0,0,0,13.899871237599838,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0.009966240381495555,0,0,0,10.133668720465554,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,3,0,10.186726045375885,0,0,0,12.582222247517887,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,1,4,0,12.27830849931809,0,0,0,13.86792386732308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,12.643909980330905,0,0,0,8.560424067710127,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,2,1,1,11.78466671580526,0,0,0,13.530628891078397,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,1,0,8.543026761970442,0,0,0,10.652523776462415,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,2,2,0,12.643909980330905,0,0,0,13.950487262111585,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
